time,P
2023-03-27 8:51:49.6140 AM,99855.77
2023-03-27 8:51:50.5430 AM,99856.08
2023-03-27 8:51:51.4840 AM,99856.4
2023-03-27 8:51:52.4310 AM,99856.64
2023-03-27 8:51:53.3570 AM,99856.64
2023-03-27 8:51:54.3000 AM,99856.91
2023-03-27 8:51:55.2410 AM,99856.96
2023-03-27 8:51:56.1750 AM,99856.96
2023-03-27 8:51:57.1200 AM,99856.85
2023-03-27 8:51:58.0650 AM,99856.83
2023-03-27 8:51:58.9990 AM,99856.61
2023-03-27 8:51:59.9360 AM,99856.48
2023-03-27 8:52:00.8800 AM,99856.42
2023-03-27 8:52:01.8140 AM,99856.37
2023-03-27 8:52:02.7570 AM,99856.37
2023-03-27 8:52:03.7020 AM,99856.43
2023-03-27 8:52:04.6310 AM,99856.49
2023-03-27 8:52:05.5780 AM,99856.61
2023-03-27 8:52:06.5230 AM,99856.64
2023-03-27 8:52:07.4490 AM,99856.74
2023-03-27 8:52:08.3950 AM,99856.8
2023-03-27 8:52:09.3380 AM,99856.82
2023-03-27 8:52:10.2690 AM,99856.93
2023-03-27 8:52:11.2160 AM,99857.07
2023-03-27 8:52:12.1490 AM,99857.1
2023-03-27 8:52:13.0830 AM,99857.14
2023-03-27 8:52:14.0330 AM,99857.2
2023-03-27 8:52:14.9580 AM,99857.2
2023-03-27 8:52:15.9020 AM,99857.2
2023-03-27 8:52:16.8480 AM,99857.36
2023-03-27 8:52:17.7740 AM,99857.38
2023-03-27 8:52:18.7200 AM,99857.38
2023-03-27 8:52:19.6650 AM,99857.38
2023-03-27 8:52:20.5920 AM,99857.36
2023-03-27 8:52:21.5340 AM,99857.22
2023-03-27 8:52:22.4800 AM,99857.21
2023-03-27 8:52:23.4060 AM,99857.21
2023-03-27 8:52:24.3530 AM,99857.21
2023-03-27 8:52:25.2960 AM,99857.17
2023-03-27 8:52:26.2240 AM,99857.1
2023-03-27 8:52:27.1690 AM,99857.1
2023-03-27 8:52:28.1090 AM,99857.1
2023-03-27 8:52:29.0460 AM,99857.11
2023-03-27 8:52:29.9810 AM,99857.11
2023-03-27 8:52:30.9400 AM,99857.07
2023-03-27 8:52:31.8630 AM,99857.06
2023-03-27 8:52:32.8060 AM,99857.06
2023-03-27 8:52:33.7520 AM,99857.06
2023-03-27 8:52:34.6820 AM,99857.09
2023-03-27 8:52:35.6290 AM,99857.19
2023-03-27 8:52:36.5680 AM,99857.25
2023-03-27 8:52:37.4970 AM,99857.35
2023-03-27 8:52:38.4450 AM,99857.39
2023-03-27 8:52:39.3820 AM,99857.44
2023-03-27 8:52:40.3230 AM,99857.48
2023-03-27 8:52:41.2610 AM,99857.54
2023-03-27 8:52:42.1940 AM,99857.62
2023-03-27 8:52:43.1330 AM,99857.65
2023-03-27 8:52:44.0800 AM,99857.77
2023-03-27 8:52:45.0110 AM,99857.87
2023-03-27 8:52:45.9410 AM,99857.94
2023-03-27 8:52:46.8790 AM,99858.01
2023-03-27 8:52:47.8220 AM,99858.04
2023-03-27 8:52:48.7570 AM,99858.25
2023-03-27 8:52:49.6970 AM,99858.54
2023-03-27 8:52:50.6420 AM,99859.18
2023-03-27 8:52:51.5780 AM,99859.83
2023-03-27 8:52:52.5200 AM,99860.18
2023-03-27 8:52:53.4600 AM,99860.66
2023-03-27 8:52:54.3980 AM,99861.05
2023-03-27 8:52:55.3370 AM,99861.15
2023-03-27 8:52:56.2750 AM,99861.21
2023-03-27 8:52:57.2150 AM,99861.75
2023-03-27 8:52:58.1740 AM,99862.51
2023-03-27 8:52:59.1050 AM,99863.04
2023-03-27 8:53:00.0450 AM,99863.58
2023-03-27 8:53:00.9830 AM,99864.2
2023-03-27 8:53:01.9240 AM,99864.47
2023-03-27 8:53:02.8710 AM,99864.47
2023-03-27 8:53:03.8020 AM,99864.34
2023-03-27 8:53:04.7470 AM,99864.09
2023-03-27 8:53:05.6920 AM,99863.52
2023-03-27 8:53:06.6200 AM,99862.85
2023-03-27 8:53:07.5670 AM,99862.2
2023-03-27 8:53:08.5090 AM,99861.6
2023-03-27 8:53:09.4440 AM,99861.27
2023-03-27 8:53:10.3890 AM,99861.19
2023-03-27 8:53:11.3320 AM,99861.19
2023-03-27 8:53:12.2610 AM,99861.19
2023-03-27 8:53:13.2090 AM,99861.14
2023-03-27 8:53:14.1540 AM,99860.94
2023-03-27 8:53:15.0810 AM,99860.71
2023-03-27 8:53:16.0310 AM,99860.44
2023-03-27 8:53:16.9690 AM,99859.99
2023-03-27 8:53:17.9010 AM,99859.38
2023-03-27 8:53:18.8390 AM,99858.94
2023-03-27 8:53:19.7820 AM,99858.53
2023-03-27 8:53:20.7180 AM,99858.38
